,Product_ID,Source,Sales_Agent,Location,Delivery_Mode,Status
161,11.0,2,8,2,4,1
162,19.0,14,10,10,3,1
163,27.0,14,4,1,0,0
164,19.0,14,4,1,0,1
165,18.0,14,10,6,2,1
166,18.0,2,1,2,4,1
167,18.0,24,10,10,0,1
168,19.0,24,4,10,0,0
169,18.0,10,1,2,0,1
170,15.0,2,10,10,4,0
171,19.0,2,10,2,4,1
172,15.0,2,4,10,4,0
173,15.0,2,5,10,4,0
174,15.0,2,8,10,4,0
175,19.0,24,8,10,0,0
176,18.0,14,5,1,0,0
177,25.0,4,10,1,0,1
178,19.0,5,4,2,0,1
179,9.0,14,10,1,0,1
180,9.0,14,5,16,2,0
181,19.0,2,10,1,0,1
182,18.0,10,1,13,4,0
183,18.0,2,10,2,0,1
184,15.0,2,1,10,4,0
185,27.0,2,5,10,4,1
186,15.0,2,10,10,4,0
187,21.0,2,5,2,4,1
188,15.0,2,8,10,4,0
189,27.0,2,4,2,4,0
190,15.0,2,8,10,4,0
191,9.0,2,4,1,4,1
192,18.0,2,10,2,4,1
193,18.0,14,1,10,2,0
194,9.0,2,4,1,0,1
195,18.0,24,8,1,0,1
197,3.0,14,8,16,3,1
198,18.0,2,10,3,0,1
199,18.0,2,10,1,0,1
200,15.0,2,10,10,4,0
201,18.0,2,10,1,4,1
202,15.0,2,8,10,4,0
203,15.0,2,1,10,4,0
204,15.0,24,10,10,4,1
205,18.0,14,8,13,2,1
206,5.0,24,4,10,0,0
207,15.0,24,1,2,0,0
209,18.0,2,10,2,0,1
210,18.0,2,10,1,0,1
211,18.0,24,8,9,2,0
212,19.0,24,5,1,0,0
213,15.0,24,4,10,0,0
214,18.0,24,1,2,4,1
215,19.0,24,1,10,0,0
216,18.0,24,5,6,0,1
217,19.0,24,4,10,2,0
218,18.0,24,5,1,0,1
219,9.0,24,10,1,0,1
221,18.0,24,10,10,0,0
222,18.0,24,8,10,4,0
223,19.0,24,5,10,2,1
224,2.0,24,8,11,2,1
225,5.0,2,4,1,0,0
226,18.0,14,8,2,0,1
227,15.0,2,8,10,4,0
228,19.0,2,4,3,4,1
229,15.0,2,8,10,4,0
230,15.0,2,4,10,4,0
231,18.0,14,8,2,0,0
232,18.0,10,4,1,0,0
233,20.0,14,8,10,4,1
234,5.0,14,4,1,0,0
235,18.0,14,8,1,0,1
237,5.0,10,8,10,2,0
239,18.0,12,4,10,0,1
240,18.0,12,8,10,0,1
241,5.0,14,8,1,0,1
242,18.0,14,4,7,2,0
243,15.0,14,4,16,2,0
244,19.0,14,8,9,2,0
245,19.0,14,4,1,0,1
246,15.0,2,4,10,4,1
247,15.0,2,4,10,4,0
248,15.0,2,4,10,4,0
249,15.0,2,4,10,4,0
250,19.0,14,8,2,0,1
251,9.0,2,8,1,0,1
252,27.0,24,8,2,2,1
253,9.0,24,8,3,2,0
254,19.0,24,4,10,0,1
255,18.0,24,4,1,0,0
256,27.0,24,8,2,0,1
257,18.0,24,8,1,0,1
258,27.0,24,8,1,0,1
259,19.0,24,8,10,2,1
260,5.0,24,4,10,2,0
261,18.0,24,8,7,2,0
262,18.0,0,10,1,0,1
263,5.0,24,8,10,4,0
264,25.0,14,8,1,0,1
265,18.0,2,10,9,0,0
266,5.0,14,8,10,2,1
267,5.0,14,4,1,0,0
268,19.0,14,5,10,2,0
269,9.0,14,10,1,0,1
270,19.0,14,8,0,2,1
271,15.0,24,8,10,4,0
272,1.0,24,4,1,0,1
273,19.0,2,10,9,0,0
274,19.0,2,4,1,0,0
275,1.0,14,10,2,2,0
276,15.0,2,4,10,4,0
277,19.0,2,5,10,4,0
278,15.0,2,8,10,4,0
279,15.0,2,10,10,4,0
280,15.0,2,4,10,4,0
281,15.0,2,5,10,4,1
282,15.0,2,4,10,4,0
283,15.0,2,8,10,4,0
284,10.0,24,5,10,3,1
285,19.0,2,8,10,0,1
286,12.0,24,8,1,3,1
287,19.0,14,8,9,0,1
288,15.0,2,9,10,4,1
290,15.0,2,4,10,4,0
291,15.0,2,8,10,4,0
292,15.0,2,5,10,4,0
293,18.0,2,4,9,0,0
294,19.0,14,4,1,0,1
295,18.0,14,5,10,2,1
296,18.0,14,5,14,2,1
297,27.0,14,5,1,0,0
298,19.0,24,8,11,2,1
299,5.0,2,10,10,4,0
301,27.0,24,5,10,4,0
302,9.0,24,10,2,0,1
303,9.0,2,5,6,0,1
304,18.0,24,10,10,0,0
305,27.0,24,4,10,4,0
306,5.0,24,8,10,4,0
307,9.0,2,4,2,0,1
308,15.0,2,5,10,4,1
309,18.0,14,5,1,0,1
310,18.0,24,5,9,4,0
311,18.0,2,5,1,0,1
312,18.0,24,4,6,2,1
313,27.0,24,10,10,2,1
314,19.0,14,1,14,2,1
315,19.0,14,10,1,0,1
316,18.0,14,1,9,2,1
317,19.0,2,4,10,4,0
318,15.0,2,4,10,4,0
319,15.0,2,8,10,4,0
321,9.0,2,10,2,0,1
322,19.0,24,5,13,2,1
323,27.0,24,10,1,0,1
324,2.0,24,8,3,2,1
325,19.0,14,5,0,2,0
326,19.0,2,10,3,0,1
328,18.0,2,10,2,0,1
329,5.0,14,9,16,2,1
330,15.0,2,1,10,4,0
331,18.0,2,5,10,4,0
332,18.0,2,4,1,0,1
333,15.0,2,8,10,4,0
334,27.0,2,4,10,4,1
335,15.0,14,9,6,4,0
336,15.0,2,10,10,4,0
337,15.0,2,1,10,4,0
338,15.0,2,8,10,4,0
339,15.0,2,4,10,4,0
340,15.0,2,10,10,4,0
341,5.0,2,1,9,4,0
342,18.0,24,1,1,0,1
343,27.0,2,8,10,4,1
344,15.0,2,5,10,4,0
345,15.0,2,4,10,4,0
346,15.0,2,5,10,4,0
347,15.0,2,1,10,4,0
348,27.0,2,1,2,4,1
349,15.0,2,1,10,4,0
350,19.0,2,1,1,4,0
352,9.0,2,10,1,0,1
353,9.0,2,10,1,0,1
354,18.0,24,10,2,0,1
355,9.0,14,4,10,2,0
356,19.0,14,5,6,2,0
357,9.0,14,1,6,2,0
358,18.0,13,10,6,2,1
359,18.0,2,5,2,0,1
360,19.0,14,1,0,2,0
361,12.0,14,5,10,3,0
362,9.0,14,4,6,2,1
363,20.0,14,8,1,0,0
364,18.0,14,8,10,2,1
365,18.0,2,9,10,2,1
366,19.0,14,10,1,0,1
367,18.0,24,8,10,0,1
368,18.0,14,1,10,0,0
369,18.0,2,8,1,0,1
373,27.0,24,8,3,4,0
374,27.0,24,1,10,4,0
375,27.0,24,4,10,0,0
376,19.0,24,4,7,4,0
377,27.0,24,5,10,4,1
378,15.0,24,4,10,4,0
379,3.0,24,4,10,4,1
380,15.0,24,4,10,4,0
381,18.0,24,5,3,0,0
382,12.0,24,10,1,4,1
383,18.0,24,8,1,0,1
384,27.0,24,8,9,2,1
385,18.0,2,8,2,0,0
386,5.0,14,10,10,0,0
387,27.0,14,1,1,2,1
388,20.0,14,1,1,0,1
389,27.0,14,10,0,2,1
390,9.0,24,8,3,2,1
391,19.0,14,8,1,0,1
393,5.0,2,10,2,0,1
394,25.0,14,10,10,2,1
395,18.0,14,5,2,0,1
396,27.0,14,8,1,0,1
397,9.0,14,5,1,0,1
398,18.0,14,4,14,2,0
400,18.0,14,5,1,0,0
401,18.0,14,1,10,2,1
402,19.0,24,1,3,4,1
403,18.0,14,10,16,2,1
404,27.0,14,1,11,2,0
406,5.0,14,8,15,2,1
407,18.0,2,10,1,0,1
408,18.0,2,5,1,0,1
409,15.0,2,5,10,4,0
410,18.0,14,4,10,2,0
411,9.0,2,10,6,4,1
412,15.0,2,5,10,4,0
413,15.0,2,1,10,4,0
414,15.0,2,4,10,4,0
416,15.0,2,4,10,4,0
417,15.0,2,5,10,4,0
418,15.0,2,4,10,4,0
419,15.0,2,1,10,4,0
420,15.0,2,1,10,4,0
421,25.0,14,5,1,0,1
422,18.0,2,10,9,4,0
423,1.0,12,4,11,2,0
424,9.0,2,10,1,0,1
425,19.0,14,1,0,3,0
426,25.0,14,10,1,0,1
427,2.0,14,8,6,2,1
428,19.0,14,10,3,2,0
429,5.0,14,4,2,2,0
430,9.0,2,1,1,4,0
431,19.0,2,5,3,0,1
432,27.0,24,8,2,2,1
434,9.0,14,5,6,2,1
435,27.0,14,10,16,2,1
436,5.0,14,5,10,2,0
437,27.0,14,8,2,2,0
438,9.0,14,4,10,2,0
439,18.0,14,5,9,2,1
440,5.0,14,10,10,2,0
442,19.0,7,4,1,3,1
443,9.0,14,4,6,2,0
444,19.0,14,5,0,3,0
445,18.0,10,8,1,0,0
446,27.0,2,10,2,0,1
447,18.0,24,10,10,0,1
448,20.0,14,1,1,0,0
449,15.0,2,1,10,4,0
450,9.0,2,8,6,3,1
452,27.0,2,4,10,4,1
453,9.0,2,5,9,4,1
454,1.0,2,1,10,4,0
455,15.0,2,8,10,4,0
456,18.0,14,1,3,2,0
457,15.0,2,10,10,4,0
458,15.0,2,4,10,4,1
459,15.0,2,5,10,4,0
460,15.0,2,4,10,4,0
461,9.0,2,1,3,4,0
462,9.0,2,8,1,4,1
463,19.0,14,8,1,0,0
465,9.0,24,5,1,0,1
466,27.0,24,4,6,2,0
467,9.0,24,10,6,2,0
468,19.0,24,10,10,4,0
469,2.0,14,4,1,0,0
470,19.0,24,1,9,0,1
471,9.0,14,10,1,2,1
472,9.0,14,4,3,2,0
473,9.0,14,4,3,0,1
474,9.0,14,6,6,0,0
476,27.0,14,4,1,0,0
477,15.0,24,5,10,4,0
478,18.0,14,1,2,0,1
479,27.0,10,10,3,2,1
480,9.0,14,5,10,2,1
481,27.0,24,10,10,0,0
482,19.0,2,5,2,0,1
483,15.0,2,5,10,4,0
484,18.0,14,6,1,0,1
485,15.0,2,4,10,4,0
486,15.0,2,1,10,4,0
487,15.0,2,5,10,4,0
488,19.0,2,10,1,0,1
489,27.0,2,1,1,4,1
490,15.0,2,5,10,4,0
491,18.0,2,1,1,4,1
492,15.0,2,4,10,4,0
493,27.0,2,4,1,0,1
494,15.0,2,10,10,4,0
495,9.0,14,4,9,2,1
496,27.0,2,5,6,4,1
497,27.0,2,1,1,4,1
498,15.0,2,4,10,4,1
499,15.0,2,10,10,4,0
500,15.0,2,5,10,4,1
501,15.0,2,1,10,4,0
502,5.0,14,1,0,2,0
503,27.0,14,5,6,2,0
504,19.0,14,1,12,2,1
505,18.0,14,8,16,2,0
506,19.0,14,8,1,0,0
507,18.0,14,8,14,2,0
508,27.0,14,8,2,2,0
509,27.0,24,10,10,0,0
510,18.0,14,9,1,0,1
512,27.0,14,8,1,0,1
513,18.0,14,8,1,0,1
514,19.0,14,10,6,2,0
515,18.0,24,1,10,0,0
516,18.0,24,1,9,2,1
517,19.0,24,8,10,0,0
518,19.0,2,8,1,3,1
519,19.0,24,8,6,2,1
520,27.0,24,8,10,4,1
521,18.0,24,1,2,0,1
522,19.0,16,1,9,0,0
523,15.0,24,10,2,0,0
524,19.0,14,5,14,2,0
525,27.0,10,4,1,0,0
526,18.0,12,10,1,0,0
527,27.0,24,8,2,0,1
528,19.0,14,4,1,0,1
529,19.0,14,1,14,2,0
530,19.0,14,1,9,2,0
531,18.0,2,4,3,2,0
532,27.0,24,10,2,0,0
534,18.0,24,8,13,2,0
535,15.0,14,10,10,4,0
537,18.0,24,4,10,2,0
538,27.0,14,8,10,0,0
539,9.0,24,1,9,0,0
540,15.0,2,1,10,4,0
541,19.0,2,5,1,4,1
542,15.0,2,1,10,4,0
543,15.0,2,4,10,4,0
544,18.0,2,5,1,4,1
545,15.0,2,10,10,4,0
546,15.0,2,10,10,4,0
547,15.0,2,5,10,4,1
548,9.0,2,8,10,4,1
549,15.0,2,8,10,4,0
550,27.0,24,4,10,0,0
551,18.0,24,8,10,4,0
552,15.0,24,5,10,4,0
553,18.0,24,10,1,0,1
554,10.0,24,4,1,4,1
555,9.0,14,4,3,2,1
556,5.0,14,8,1,4,0
557,5.0,24,5,10,4,0
558,19.0,14,10,9,3,1
559,15.0,2,5,10,4,0
560,19.0,24,4,10,4,0
561,27.0,2,4,1,0,1
562,19.0,24,8,10,4,0
563,9.0,2,8,1,0,1
564,9.0,2,10,9,0,0
565,12.0,24,5,13,4,0
566,5.0,14,10,6,2,1
567,25.0,14,4,16,4,0
568,15.0,24,1,1,4,0
569,18.0,14,5,1,0,0
570,18.0,14,8,6,2,0
571,19.0,14,1,1,0,1
572,9.0,2,10,2,0,0
573,9.0,14,5,6,0,0
574,15.0,14,8,10,4,1
575,20.0,14,4,9,2,1
576,19.0,4,4,1,0,1
577,15.0,24,8,6,2,0
578,18.0,2,1,1,4,0
579,18.0,2,5,1,0,1
580,18.0,14,10,16,2,0
581,1.0,16,6,6,2,1
582,18.0,16,6,10,4,1
583,5.0,14,5,10,2,0
584,9.0,14,1,6,2,0
585,18.0,14,10,3,2,1
586,18.0,14,8,10,2,0
588,15.0,2,10,10,4,0
591,18.0,24,4,1,0,1
592,10.0,7,8,1,0,1
593,15.0,14,5,10,4,1
594,18.0,2,8,3,0,0
595,9.0,14,5,6,2,0
596,9.0,2,5,2,0,1
597,10.0,4,10,1,0,1
598,9.0,2,1,1,0,1
599,19.0,14,10,9,2,1
600,15.0,14,4,13,2,0
601,19.0,12,5,10,2,1
602,13.0,14,6,10,0,1
603,19.0,14,10,1,0,1
605,15.0,2,5,10,4,0
606,15.0,2,10,10,4,0
607,15.0,2,8,10,4,0
608,15.0,2,1,10,4,0
609,18.0,2,5,10,4,0
610,15.0,2,10,10,4,0
611,15.0,2,4,10,4,0
612,9.0,14,4,6,2,1
613,18.0,14,10,1,0,0
614,18.0,14,5,10,4,0
615,27.0,24,5,10,4,0
616,5.0,14,4,1,0,0
617,18.0,14,8,2,0,1
618,5.0,14,10,1,0,0
619,15.0,24,4,10,4,0
620,18.0,14,4,9,4,0
621,18.0,14,5,3,2,1
622,15.0,2,1,10,4,0
623,15.0,2,8,10,4,1
624,12.0,14,10,3,4,0
625,10.0,14,1,6,0,0
626,19.0,14,8,3,2,0
627,18.0,2,10,2,0,1
628,18.0,10,8,1,0,0
629,27.0,12,10,10,2,0
630,5.0,13,1,11,4,0
631,15.0,16,4,2,0,0
632,5.0,13,10,2,2,0
633,19.0,14,8,1,0,1
634,18.0,24,5,10,4,1
635,15.0,24,5,2,4,0
636,18.0,24,4,9,4,0
637,18.0,14,5,2,0,1
638,18.0,14,10,1,2,1
639,13.0,14,4,10,4,0
640,9.0,12,8,14,2,0
641,12.0,2,1,10,3,0
642,5.0,24,1,10,4,1
643,18.0,24,8,10,4,0
644,18.0,14,4,6,0,0
645,18.0,14,10,6,0,1
646,9.0,14,4,10,4,1
647,20.0,24,5,9,4,1
648,9.0,14,1,1,0,1
650,19.0,2,10,2,0,1
651,18.0,24,5,3,4,0
652,15.0,2,5,10,4,1
653,15.0,2,1,10,4,0
654,18.0,2,5,2,4,1
655,15.0,2,4,10,4,0
656,19.0,24,10,6,2,0
657,18.0,16,8,1,0,1
658,17.0,16,5,14,2,1
659,20.0,16,8,11,0,0
661,27.0,24,4,1,2,0
662,9.0,24,5,3,0,0
663,19.0,14,8,10,2,1
664,19.0,14,4,1,0,1
665,19.0,14,1,3,2,0
666,19.0,2,1,1,4,1
667,18.0,2,10,1,0,1
669,18.0,2,10,9,0,1
670,18.0,2,4,2,0,1
671,27.0,14,10,1,0,1
672,18.0,14,10,10,0,0
674,9.0,24,1,1,0,1
675,27.0,16,6,1,0,1
676,19.0,2,10,6,0,1
677,27.0,14,6,10,0,0
679,27.0,4,10,1,0,1
680,19.0,2,8,10,2,1
681,15.0,16,5,10,2,1
682,27.0,16,5,1,0,1
683,18.0,10,4,1,0,0
684,15.0,2,1,10,4,1
685,15.0,2,10,10,4,0
686,15.0,2,5,10,4,1
687,15.0,2,8,10,4,0
688,15.0,2,4,10,4,0
690,15.0,2,5,10,4,1
691,15.0,2,5,10,4,0
692,18.0,24,1,9,2,0
693,18.0,14,4,1,0,0
694,19.0,14,5,13,2,0
695,18.0,14,10,9,2,1
696,18.0,14,10,2,0,1
697,5.0,14,4,10,2,0
698,18.0,24,5,10,0,0
699,18.0,24,10,10,0,0
700,27.0,2,5,11,4,0
701,5.0,13,8,1,0,1
702,15.0,2,5,10,4,0
703,15.0,2,5,10,4,0
704,18.0,2,10,9,4,0
705,15.0,2,4,10,4,0
706,18.0,24,1,1,4,1
707,25.0,2,5,1,0,1
708,19.0,24,10,11,4,0
709,9.0,7,4,10,3,1
710,18.0,2,10,1,0,1
711,20.0,14,5,10,4,0
712,20.0,14,8,10,2,0
714,19.0,2,5,10,0,0
715,5.0,14,1,1,0,1
717,15.0,2,1,10,4,1
718,15.0,2,5,10,4,0
719,15.0,2,8,10,4,0
720,15.0,2,1,10,4,1
721,15.0,2,4,10,4,0
722,18.0,2,10,1,4,1
723,15.0,2,4,10,4,0
724,9.0,2,5,9,4,0
725,2.0,2,1,1,4,1
726,15.0,2,10,10,4,0
727,15.0,2,8,10,4,0
728,19.0,24,8,9,2,1
729,18.0,12,1,2,0,0
730,18.0,14,8,1,0,1
731,19.0,12,10,1,2,1
732,18.0,14,4,10,0,1
733,19.0,2,5,2,2,1
734,18.0,2,10,1,2,1
735,18.0,14,1,6,2,0
736,19.0,16,10,9,2,1
738,19.0,16,8,15,0,1
739,18.0,14,8,9,2,1
740,1.0,14,1,2,0,0
741,27.0,16,1,1,0,0
742,19.0,14,10,10,2,1
743,15.0,14,8,9,2,0
744,25.0,14,5,14,4,0
745,18.0,10,8,10,0,1
746,9.0,14,10,6,2,0
747,18.0,16,10,6,2,1
748,25.0,14,4,10,0,0
749,18.0,16,5,3,2,0
750,5.0,14,8,10,2,0
751,19.0,14,5,12,2,1
752,25.0,14,8,1,0,0
753,18.0,14,1,2,0,1
754,27.0,2,8,2,3,1
755,9.0,2,1,10,4,1
756,19.0,2,10,1,0,1
758,9.0,24,5,7,4,1
759,18.0,2,10,2,0,1
760,18.0,2,5,1,0,1
761,19.0,2,10,1,4,1
762,19.0,2,5,1,4,1
763,15.0,2,10,10,4,0
764,27.0,2,8,2,2,1
765,9.0,2,10,1,4,1
766,15.0,2,1,10,4,0
767,18.0,2,1,10,4,0
768,9.0,2,8,1,0,0
769,18.0,14,10,2,0,1
770,15.0,2,1,10,4,1
772,15.0,2,8,10,4,0
774,18.0,24,8,2,4,1
775,19.0,24,8,10,4,0
776,9.0,24,4,2,4,0
777,27.0,24,10,9,0,1
778,18.0,24,5,3,4,0
779,5.0,24,4,10,4,0
780,18.0,24,1,1,0,1
781,27.0,24,5,1,4,1
782,10.0,24,8,6,3,1
783,20.0,24,4,10,4,0
784,24.0,24,4,10,4,0
785,15.0,24,10,10,4,0
786,18.0,24,5,11,4,0
787,18.0,24,4,9,4,1
788,18.0,24,8,7,3,0
789,18.0,24,10,10,4,1
790,27.0,24,5,10,0,1
791,10.0,24,1,10,4,1
792,18.0,24,5,9,2,0
793,15.0,24,1,10,4,0
794,15.0,24,1,10,4,0
795,18.0,24,8,2,0,1
796,27.0,24,4,6,4,0
797,9.0,2,1,10,0,1
798,19.0,14,4,3,0,1
799,25.0,14,1,2,0,0
800,9.0,14,4,13,2,0
801,27.0,14,8,13,2,0
802,19.0,24,5,3,4,1
803,15.0,2,4,10,4,0
804,19.0,2,8,10,2,1
805,15.0,2,4,10,4,0
806,19.0,2,5,6,0,1
807,15.0,2,10,10,4,1
808,15.0,2,5,10,4,0
809,15.0,2,4,10,4,0
810,15.0,2,9,10,4,1
811,15.0,2,10,2,4,0
813,18.0,2,10,1,0,1
814,10.0,14,8,10,1,0
815,19.0,2,10,1,0,1
817,9.0,14,4,3,0,0
818,25.0,24,5,10,0,1
819,18.0,16,5,9,2,1
820,12.0,16,1,10,0,1
821,18.0,2,10,2,0,1
822,9.0,14,5,7,2,0
823,19.0,2,4,3,2,1
824,15.0,24,5,10,4,0
825,5.0,14,1,10,0,0
826,18.0,14,10,10,2,0
827,27.0,14,5,6,0,1
828,20.0,14,8,10,2,0
829,11.0,14,5,10,4,0
830,19.0,14,4,10,0,0
831,9.0,2,4,2,2,1
832,19.0,12,1,1,2,1
833,25.0,24,8,10,4,0
834,19.0,2,4,1,0,1
835,27.0,24,10,2,4,1
836,9.0,24,5,10,4,1
839,15.0,2,1,10,4,0
840,15.0,2,8,10,4,1
841,27.0,24,4,1,4,1
842,15.0,2,10,2,4,1
843,15.0,2,4,10,4,0
844,15.0,2,1,10,4,0
845,18.0,24,8,10,4,0
846,18.0,24,5,1,0,1
847,18.0,24,8,1,0,1
848,9.0,24,8,10,2,0
849,19.0,2,1,1,4,1
851,5.0,24,1,10,2,1
852,18.0,16,8,10,2,0
854,18.0,16,5,2,2,1
855,5.0,24,10,10,0,0
856,9.0,14,10,1,0,1
857,9.0,16,8,2,2,1
858,9.0,16,6,1,0,1
859,5.0,2,5,6,2,1
860,18.0,2,4,2,0,0
861,27.0,12,10,10,2,0
863,5.0,24,5,10,0,0
865,18.0,24,1,2,0,1
866,27.0,24,8,1,0,0
867,19.0,24,1,10,0,1
868,18.0,2,10,9,0,0
869,19.0,4,10,6,0,1
870,18.0,10,4,2,0,1
871,18.0,14,8,1,0,0
873,18.0,14,5,10,4,0
874,15.0,24,8,2,0,0
875,19.0,14,10,9,0,0
876,27.0,2,4,6,0,0
877,13.0,16,9,6,2,0
878,18.0,14,5,10,0,0
879,15.0,2,8,10,4,0
880,9.0,2,1,2,0,1
881,18.0,14,8,4,2,1
882,9.0,16,10,9,0,0
883,5.0,16,1,1,0,0
884,24.0,2,5,10,0,1
885,15.0,24,8,10,2,0
886,19.0,24,4,10,2,0
887,18.0,24,1,9,2,1
888,18.0,10,1,10,0,0
889,9.0,14,10,1,0,1
890,27.0,12,4,3,2,1
891,2.0,14,8,10,0,0
892,9.0,2,8,2,4,1
893,9.0,24,10,9,0,0
894,15.0,24,8,2,2,0
895,18.0,24,8,10,0,1
899,9.0,4,10,1,0,0
901,19.0,2,4,9,0,0
902,5.0,14,8,3,3,0
903,27.0,10,1,2,0,1
904,18.0,14,8,10,2,0
905,19.0,14,4,10,2,0
906,15.0,2,10,10,4,0
907,25.0,2,1,1,4,1
908,15.0,2,8,10,4,0
909,18.0,2,10,3,4,1
910,15.0,2,8,10,4,0
911,15.0,2,1,10,4,0
912,15.0,2,4,10,4,0
913,15.0,2,10,1,4,0
914,18.0,2,1,10,4,1
915,1.0,2,8,1,0,1
916,15.0,2,10,10,4,0
917,15.0,2,4,10,4,0
918,10.0,2,1,2,4,0
919,10.0,14,8,11,4,1
920,19.0,14,4,6,0,0
921,18.0,10,1,1,0,1
923,9.0,2,1,2,4,1
924,19.0,14,4,3,0,0
925,19.0,14,1,1,0,0
926,15.0,2,8,10,4,0
927,15.0,2,10,10,4,0
928,27.0,14,1,10,0,0
929,15.0,2,8,10,4,0
930,15.0,2,1,10,4,0
931,9.0,14,10,2,0,1
932,27.0,10,5,1,0,1
933,18.0,13,6,11,2,1
934,18.0,12,5,10,2,1
935,18.0,10,5,1,2,1
936,18.0,10,8,1,0,1
937,15.0,2,1,10,4,1
938,15.0,2,10,10,4,0
939,15.0,2,4,10,4,0
940,19.0,2,1,10,4,1
941,27.0,16,4,10,0,0
942,15.0,2,4,10,4,0
943,15.0,2,8,10,4,0
944,18.0,12,4,10,2,0
945,19.0,16,5,15,2,1
946,18.0,10,5,2,0,0
947,27.0,24,8,2,0,0
949,18.0,24,5,1,0,1
951,18.0,24,5,10,2,1
952,5.0,24,5,10,2,0
953,9.0,2,5,9,0,0
955,18.0,2,5,1,0,1
956,18.0,24,5,9,2,1
957,18.0,24,5,3,2,1
958,19.0,24,4,10,2,0
959,5.0,14,5,3,2,0
960,18.0,2,4,2,0,1
961,27.0,14,4,6,2,0
962,27.0,2,5,6,2,1
963,27.0,16,4,1,0,0
964,9.0,14,5,1,0,1
965,19.0,2,5,1,4,1
